waste,description
W072,Paper and cardboard wastes
W073,Rubber wastes
W075,Wood wastes
W076,Textile wastes
W091,Animal and mixed food waste
W092,Vegetal wastes
W093,Animal feces urine and manure
W101,Household and similar wastes
